Name,Abbr,Status,Capital,Area,1991,2000,2019
An Giang,AGI,Prov,Long Xuyen,"3,537","2,044,376","2,142,709","1,908,352"
Bac Giang,BGI,Prov,Bac Giang,"3,896","1,492,899","1,554,131","1,803,950"
Bac Kan,BKA,Prov,Bac Kan,"4,860","275,165","293,826","313,905"
Bac Lieu,BLI,Prov,Bac Lieu,"2,669","735,130","856,518","907,236"
Bac Ninh,BNI,Prov,Bac Ninh,823,"942,106","1,024,472","1,368,840"
Ba Ria - Vung Tau,BRV,Prov,Vung Tau,"1,981","796,186","996,682","1,148,313"
Ben Tre,BTR,Prov,Ben Tre,"2,395","1,298,959","1,255,946","1,288,463"
Binh Dinh,BDI,Prov,Qui Nhon,"6,066","1,460,727","1,486,465","1,486,918"
Binh Duong,BDU,Prov,Thu Dau Mot,"2,695","716,661","1,481,550","2,426,561"
Binh Phuoc,BPH,Prov,Dong Xoai,"6,877","653,926","873,598","994,679"
Binh Thuan,BTH,Prov,Phan Thiet,"7,944","1,046,320","1,167,023","1,230,808"
Ca Mau,CMA,Prov,Ca Mau,"5,221","1,118,830","1,206,938","1,194,476"
Can Tho,CTH,Mun,Can Tho,"1,439","1,105,000","1,188,435","1,235,171"
Cao Bang,CBA,Prov,Cao Bang,"6,700","490,335","507,183","530,341"
Dak Lak,DLA,Prov,Buon Ma Thuot,"13,030","1,388,000","1,733,624","1,869,322"
Dak Nong,DNO,Prov,Gia Nghia,"6,509","393,000","489,392","622,168"
Da Nang,DNG,Mun,Da Nang,"1,285","684,846","887,435","1,134,310"
Dien Bien,DBI,Prov,Dien Bien Phu,"9,541","383,000","490,306","598,856"
Dong Nai,DNI,Prov,Bien Hoa,"5,864","1,990,678","2,486,154","3,097,107"
Dong Thap,DTH,Prov,Cao Lanh,"3,384","1,566,571","1,666,467","1,599,504"
Gia Lai,GLA,Prov,Pleiku,"15,511","966,950","1,274,412","1,513,847"
Ha Giang,HGG,Prov,Ha Giang,"7,930","602,525","724,537","854,679"
Hai Duong,HDU,Prov,Hai Duong,"1,668","1,650,624","1,705,059","1,892,254"
Hai Phong,HPH,Mun,Hai Phong,"1,562","1,672,425","1,837,173","2,028,514"
Ha Nam,HNA,Prov,Phu Ly,862,"793,103","784,045","852,800"
Ha Noi,HNO,Mun,Ha Noi,"3,359","5,053,604","6,451,909","8,053,663"
Ha Tinh,HTI,Prov,Ha Tinh,"5,991","1,268,968","1,227,038","1,288,866"
Hau Giang,HAU,Prov,Vi Thanh,"1,622","704,000","757,300","733,017"
Hoa Binh,HBI,Prov,Hoa Binh,"4,591","756,713","785,217","854,131"
Hung Yen,HYE,Prov,Hung Yen,930,"1,069,158","1,127,903","1,252,731"
Khanh Hoa,KHO,Prov,Nha Trang,"5,138","1,031,395","1,157,604","1,231,107"
Kien Giang,KGI,Prov,Rach Gia,"6,349","1,497,639","1,688,248","1,723,067"
Kon Tum,KTU,Prov,Kon Tum,"9,674","314,216","430,133","540,438"
Lai Chau,LCH,Prov,Lai Chau,"9,069","288,000","370,502","460,196"
Lam Dong,LDO,Prov,Da Lat,"9,783","998,027","1,187,574","1,296,906"
Lang Son,LSO,Prov,Lang Son,"8,310","703,824","732,515","781,655"
Lao Cai,LCA,Prov,Lao Cai,"6,364","511,000","614,595","730,420"
Long An,LAN,Prov,Tan An,"4,495","1,305,687","1,436,066","1,688,547"
Nam Dinh,NDI,Prov,Nam Dinh,"1,668","1,890,240","1,828,111","1,780,393"
Nghe An,NAN,Prov,Vinh,"16,482","2,858,748","2,912,041","3,327,791"
Ninh Binh,NBI,Prov,Ninh Binh,"1,387","884,155","898,999","982,487"
Ninh Thuan,NTH,Prov,Phan Rang - Thap Cham,"3,355","504,997","564,993","590,467"
Phu Tho,PTH,Prov,Viet Tri,"3,535","1,261,559","1,316,389","1,463,726"
Phu Yen,PYE,Prov,Tuy Hoa,"5,023","787,282","862,231","872,964"
Quang Binh,QBI,Prov,Dong Hoi,"8,000","794,880","844,893","895,430"
Quang Nam,QNA,Prov,Tam Ky,"10,575","1,373,687","1,422,319","1,495,812"
Quang Ngai,QNG,Prov,Quang Ngai,"5,152","1,190,144","1,216,773","1,231,697"
Quang Ninh,QNI,Prov,Ha Long,"6,178","1,004,839","1,144,988","1,320,324"
Quang Tri,QTR,Prov,Dong Ha,"4,622","572,921","598,324","632,375"
Soc Trang,STR,Prov,Soc Trang,"3,312","1,172,404","1,292,853","1,199,653"
Son La,SLA,Prov,Son La,"14,124","882,077","1,076,055","1,248,415"
Tay Ninh,TNI,Prov,Tay Ninh,"4,041","967,097","1,066,513","1,169,165"
Thai Binh,TBI,Prov,Thai Binh,"1,586","1,786,382","1,781,842","1,860,447"
Thai Nguyen,TNG,Prov,Thai Nguyen,"3,527","1,045,906","1,123,116","1,286,751"
Thanh Hoa,THO,Prov,Thanh Hoa,"11,115","3,467,307","3,400,595","3,640,128"
Ho Chi Minh City,HCM,Mun,Thanh Pho Ho Chi Minh,"2,061","5,034,058","7,162,864","8,993,082"
Thua Thien - Hue,TTH,Prov,Hue,"4,902","1,044,875","1,087,420","1,128,620"
Tien Giang,TGI,Prov,My Tho,"2,511","1,604,165","1,672,271","1,764,185"
Tra Vinh,TVI,Prov,Tra Vinh,"2,358","966,949","1,003,012","1,009,168"
Tuyen Quang,TQU,Prov,Tuyen Quang,"5,868","676,174","724,821","784,811"
Vinh Long,VLO,Prov,Vinh Long,"1,526","1,010,521","1,024,707","1,022,791"
Vinh Phuc,VPH,Prov,Vinh Yen,"1,235","1,092,040","999,786","1,151,154"
Yen Bai,YBA,Prov,Yen Bai,"6,888","679,068","740,397","821,030"
